Time,5 ng/mL BL21 AVG,5 ng/mL BL21d7 AVG,,2.5 ng/mL BL21 AVG,2.5 ng/mL BL21d7 AVG,,5 ng/mL BL21 AVG,5 ng/mL BL21d7 AVG,,1.25 ng/mL BL21 AVG,1.25 ng/mL BL21d7 AVG,,0 ng/mL BL21 AVG,0 ng/mL BL21 AVG
0:00,0.095,0.096,,0.094,0.093,,0.091,0.09,,0.092,0.093,,0.092,0.093
0:29,0.097,0.097,,0.096,0.094,,0.093,0.091,,0.094,0.093,,0.094,0.093
0:59,0.101,0.098,,0.099,0.095,,0.096,0.092,,0.097,0.094,,0.097,0.094
1:29,0.108,0.099,,0.106,0.096,,0.102,0.094,,0.104,0.096,,0.104,0.096
1:59,0.123,0.102,,0.12,0.099,,0.114,0.097,,0.116,0.098,,0.116,0.098
2:29,0.149,0.108,,0.145,0.105,,0.135,0.103,,0.137,0.103,,0.137,0.103
2:59,0.194,0.118,,0.188,0.114,,0.175,0.114,,0.175,0.112,,0.175,0.112
3:29,0.254,0.135,,0.253,0.131,,0.243,0.133,,0.238,0.126,,0.238,0.126
3:59,0.285,0.16,,0.309,0.155,,0.312,0.162,,0.316,0.151,,0.316,0.151
4:29,0.295,0.19,,0.37,0.19,,0.407,0.204,,0.427,0.187,,0.427,0.187
4:59,0.302,0.196,,0.447,0.212,,0.514,0.235,,0.531,0.229,,0.531,0.229
5:29,0.304,0.188,,0.52,0.226,,0.604,0.261,,0.638,0.275,,0.638,0.275
5:59,0.303,0.169,,0.584,0.227,,0.722,0.293,,0.763,0.33,,0.763,0.33
6:29,0.301,0.152,,0.661,0.228,,0.819,0.328,,0.853,0.402,,0.853,0.402
6:59,0.309,0.139,,0.727,0.231,,0.871,0.383,,0.914,0.474,,0.914,0.474
7:29,0.311,0.129,,0.775,0.235,,0.919,0.429,,0.963,0.558,,0.963,0.558
7:59,0.313,0.123,,0.82,0.245,,0.963,0.493,,1.002,0.655,,1.002,0.655
8:29,0.314,0.118,,0.852,0.257,,0.996,0.563,,1.034,0.747,,1.034,0.747
8:59,0.314,0.115,,0.888,0.272,,1.02,0.65,,1.066,0.812,,1.066,0.812
9:29,0.315,0.113,,0.922,0.288,,1.049,0.706,,1.089,0.856,,1.089,0.856
9:59,0.315,0.111,,0.943,0.305,,1.069,0.754,,1.104,0.899,,1.104,0.899
10:29,0.308,0.111,,0.964,0.325,,1.08,0.787,,1.113,0.935,,1.113,0.935
10:59,0.308,0.109,,0.987,0.343,,1.087,0.811,,1.121,0.964,,1.121,0.964
11:29,0.299,0.109,,1.007,0.359,,1.093,0.842,,1.126,0.988,,1.126,0.988
11:59,0.297,0.109,,1.028,0.374,,1.1,0.869,,1.134,1.005,,1.134,1.005
12:29,0.294,0.108,,1.039,0.387,,1.106,0.896,,1.14,1.02,,1.14,1.02
12:59,0.289,0.109,,1.05,0.398,,1.112,0.909,,1.147,1.039,,1.147,1.039
13:29,0.287,0.108,,1.053,0.41,,1.116,0.921,,1.152,1.052,,1.152,1.052
13:59,0.286,0.108,,1.065,0.42,,1.119,0.937,,1.158,1.067,,1.158,1.067
14:29,0.286,0.108,,1.069,0.431,,1.123,0.948,,1.163,1.078,,1.163,1.078
14:59,0.287,0.108,,1.074,0.438,,1.125,0.959,,1.167,1.086,,1.167,1.086
15:29,0.291,0.109,,1.076,0.45,,1.131,0.965,,1.171,1.094,,1.171,1.094
15:59,0.296,0.108,,1.086,0.457,,1.132,0.974,,1.174,1.1,,1.174,1.1
16:29,0.303,0.109,,1.086,0.467,,1.135,0.984,,1.179,1.104,,1.179,1.104
16:59,0.307,0.109,,1.094,0.475,,1.138,0.985,,1.182,1.108,,1.182,1.108
17:29,0.31,0.109,,1.097,0.481,,1.142,0.993,,1.185,1.11,,1.185,1.11
17:59,0.308,0.11,,1.1,0.491,,1.144,0.994,,1.191,1.113,,1.191,1.113
18:29,0.308,0.11,,1.096,0.498,,1.145,0.995,,1.197,1.114,,1.197,1.114
18:59,0.31,0.11,,1.101,0.505,,1.146,0.997,,1.2,1.115,,1.2,1.115
19:29,0.312,0.111,,1.101,0.513,,1.149,0.998,,1.202,1.12,,1.202,1.12
19:59,0.318,0.111,,1.103,0.521,,1.151,0.997,,1.203,1.121,,1.203,1.121
20:29,0.325,0.111,,1.104,0.531,,1.151,0.996,,1.204,1.122,,1.204,1.122
20:59,0.333,0.112,,1.108,0.537,,1.154,0.998,,1.206,1.122,,1.206,1.122
21:29,0.343,0.112,,1.106,0.545,,1.155,0.993,,1.208,1.119,,1.208,1.119
21:59,0.351,0.113,,1.11,0.554,,1.156,0.994,,1.209,1.116,,1.209,1.116
22:29,0.362,0.113,,1.111,0.563,,1.157,0.994,,1.212,1.113,,1.212,1.113
22:59,0.375,0.113,,1.112,0.572,,1.16,0.992,,1.213,1.11,,1.213,1.11
23:29,0.387,0.114,,1.109,0.577,,1.16,0.994,,1.215,1.105,,1.215,1.105
23:59,0.4,0.115,,1.111,0.587,,1.162,0.992,,1.216,1.1,,1.216,1.1
